Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
Stphan Malcolm Caron,France,FRA,Summer,1988,Seoul,Swimming,100M Freestyle,Bronze,Men
Stphan Malcolm Caron,France,FRA,Summer,1992,Barcelona,Swimming,100M Freestyle,Bronze,Men
"Catherine L. ""Cathy"" Carr (-West)",United States,USA,Summer,1972,Munich,Swimming,100M Breaststroke,Gold,Women
"Catherine L. ""Cathy"" Carr (-West)",United States,USA,Summer,1972,Munich,Swimming,4X100M Medley Relay,Gold,Women
Julian Paul Carroll,Australia,AUS,Summer,1960,Roma,Swimming,4X100M Medley Relay,Silver,Men
Gladys Helena Carson (-Hewitt),Great Britain,GBR,Summer,1924,Paris,Swimming,200M Breaststroke,Bronze,Women
Fritze Wulff Carstensen (Nathansen-),Denmark,DEN,Summer,1948,London,Swimming,4X100M Freestyle Relay,Silver,Women
Keith Eyre Carter,United States,USA,Summer,1948,London,Swimming,200M Breaststroke,Silver,Men
Chad Robb Carvin,United States,USA,Summer,2000,Sydney,Swimming,4X200M Freestyle Relay,Silver,Men
Tracy Ann Caulkins (-Stockwell),United States,USA,Summer,1984,Los Angeles,Swimming,200M Individual Medley,Gold,Women
Tracy Ann Caulkins (-Stockwell),United States,USA,Summer,1984,Los Angeles,Swimming,400M Individual Medley,Gold,Women
Tracy Ann Caulkins (-Stockwell),United States,USA,Summer,1984,Los Angeles,Swimming,4X100M Medley Relay,Gold,Women
"Christopher Carl ""Chris"" Cavanaugh",United States,USA,Summer,1984,Los Angeles,Swimming,4X100M Freestyle Relay,Gold,Men
Milorad Avi,Serbia,SRB,Summer,2008,Beijing,Swimming,100M Butterfly,Silver,Men
Jane Barbro Irne Cederqvist,Sweden,SWE,Summer,1960,Roma,Swimming,400M Freestyle,Silver,Women
Simone Cercato,Italy,ITA,Summer,2004,Athina,Swimming,4X200M Freestyle Relay,Bronze,Men
"Matthew J. ""Matt"" Cetlinski",United States,USA,Summer,1988,Seoul,Swimming,4X200M Freestyle Relay,Gold,Men
Kyle Chalmers,Australia,AUS,Summer,2016,Rio De Janeiro,Swimming,100M Freestyle,Gold,Men
Kyle Chalmers,Australia,AUS,Summer,2016,Rio De Janeiro,Swimming,4X100M Freestyle Relay,Bronze,Men
Kyle Chalmers,Australia,AUS,Summer,2016,Rio De Janeiro,Swimming,4X100M Medley Relay,Bronze,Men
Malcolm Eadie Champion,Australasia,ANZ,Summer,1912,Stockholm,Swimming,4X200M Freestyle Relay,Gold,Men
Chao Na,China,CHN,Summer,1996,Atlanta,Swimming,4X100M Freestyle Relay,Silver,Women
Gary Arthur Chapman,Australia,AUS,Summer,1956,Melbourne,Swimming,100M Freestyle,Bronze,Men
Gary Arthur Chapman,Australia,AUS,Summer,1956,Melbourne,Swimming,4X200M Freestyle Relay,Gold,Men
"Andrew Murray ""Boy"" Charlton",Australia,AUS,Summer,1924,Paris,Swimming,400M Freestyle,Bronze,Men
"Andrew Murray ""Boy"" Charlton",Australia,AUS,Summer,1924,Paris,Swimming,1500M Freestyle,Gold,Men
"Andrew Murray ""Boy"" Charlton",Australia,AUS,Summer,1924,Paris,Swimming,4X200M Freestyle Relay,Silver,Men
"Andrew Murray ""Boy"" Charlton",Australia,AUS,Summer,1928,Amsterdam,Swimming,400M Freestyle,Silver,Men
"Andrew Murray ""Boy"" Charlton",Australia,AUS,Summer,1928,Amsterdam,Swimming,1500M Freestyle,Silver,Men
Aleksandr Yuryevich Chayev,Soviet Union,URS,Summer,1980,Moskva,Swimming,1500M Freestyle,Silver,Men
Chen Yan,China,CHN,Summer,1996,Atlanta,Swimming,4X100M Medley Relay,Bronze,Women
"Maurice Froomes ""Moss"" Christie",Australia,AUS,Summer,1924,Paris,Swimming,4X200M Freestyle Relay,Silver,Men
Anton Mikhaylovich Chupkov,Russia,RUS,Summer,2016,Rio De Janeiro,Swimming,200M Breaststroke,Bronze,Men
Csar Augusto Cielo Filho,Brazil,BRA,Summer,2008,Beijing,Swimming,50M Freestyle,Gold,Men
Csar Augusto Cielo Filho,Brazil,BRA,Summer,2008,Beijing,Swimming,100M Freestyle,Bronze,Men
Csar Augusto Cielo Filho,Brazil,BRA,Summer,2012,London,Swimming,50M Freestyle,Bronze,Men
Austin Rhone Clapp,United States,USA,Summer,1928,Amsterdam,Swimming,4X200M Freestyle Relay,Gold,Men
Barbara Lynne Clark (-Parolin),Canada,CAN,Summer,1976,Montreal,Swimming,4X100M Freestyle Relay,Bronze,Women
"Stephen Edward ""Steve"" Clark",United States,USA,Summer,1960,Roma,Swimming,4X200M Freestyle Relay,Gold,Men
"Stephen Edward ""Steve"" Clark",United States,USA,Summer,1960,Roma,Swimming,4X100M Medley Relay,Gold,Men
"Stephen Edward ""Steve"" Clark",United States,USA,Summer,1964,Tokyo,Swimming,4X100M Freestyle Relay,Gold,Men
"Stephen Edward ""Steve"" Clark",United States,USA,Summer,1964,Tokyo,Swimming,4X200M Freestyle Relay,Gold,Men
"Stephen Edward ""Steve"" Clark",United States,USA,Summer,1964,Tokyo,Swimming,4X100M Medley Relay,Gold,Men
"Deborah ""Debbie"" Clarke (-Zemba)",Canada,CAN,Summer,1976,Montreal,Swimming,4X100M Freestyle Relay,Bronze,Women
"Deborah ""Debbie"" Clarke (-Zemba)",Canada,CAN,Summer,1976,Montreal,Swimming,4X100M Medley Relay,Bronze,Women
Stephen Clarke,Canada,CAN,Summer,1992,Barcelona,Swimming,4X100M Medley Relay,Bronze,Men
Scott Tyler Clary,United States,USA,Summer,2012,London,Swimming,200M Backstroke,Gold,Men
"Jonathan Thomas ""Jon"" Cleveland",Canada,CAN,Summer,1992,Barcelona,Swimming,4X100M Medley Relay,Bronze,Men
Leslie Cliff (-Tindle),Canada,CAN,Summer,1972,Munich,Swimming,400M Individual Medley,Silver,Women
Beatrice Nicoleta Coad-Claru,Romania,ROU,Summer,2000,Sydney,Swimming,200M Individual Medley,Silver,Women
Beatrice Nicoleta Coad-Claru,Romania,ROU,Summer,2000,Sydney,Swimming,400M Individual Medley,Bronze,Women
Neil Cochran,Great Britain,GBR,Summer,1984,Los Angeles,Swimming,4X200M Freestyle Relay,Bronze,Men
Neil Cochran,Great Britain,GBR,Summer,1984,Los Angeles,Swimming,200M Individual Medley,Bronze,Men
Ryan Andrew Cochrane,Canada,CAN,Summer,2008,Beijing,Swimming,1500M Freestyle,Bronze,Men
Ryan Andrew Cochrane,Canada,CAN,Summer,2012,London,Swimming,1500M Freestyle,Silver,Men
"Tiffany Lisa Cohen (-Adams, -Lalonde)",United States,USA,Summer,1984,Los Angeles,Swimming,400M Freestyle,Gold,Women
"Tiffany Lisa Cohen (-Adams, -Lalonde)",United States,USA,Summer,1984,Los Angeles,Swimming,800M Freestyle,Gold,Women
Lynn Ann Colella,United States,USA,Summer,1972,Munich,Swimming,200M Butterfly,Silver,Women
"Richard Phillip ""Rick"" Colella, Jr.",United States,USA,Summer,1976,Montreal,Swimming,200M Breaststroke,Bronze,Men
Alva Merlin Colquhoun,Australia,AUS,Summer,1960,Roma,Swimming,4X100M Freestyle Relay,Silver,Women
Carin Alice Cone (-Vanderbush),United States,USA,Summer,1956,Melbourne,Swimming,100M Backstroke,Silver,Women
Gary Robert Conelly,United States,USA,Summer,1972,Munich,Swimming,4X100M Freestyle Relay,Gold,Men
Gary Robert Conelly,United States,USA,Summer,1972,Munich,Swimming,4X200M Freestyle Relay,Gold,Men
"John ""Jack"" Conger",United States,USA,Summer,2016,Rio De Janeiro,Swimming,4X200M Freestyle Relay,Gold,Men
Lars Conrad,Germany,GER,Summer,2004,Athina,Swimming,4X100M Medley Relay,Silver,Men
Tamsin Cook,Australia,AUS,Summer,2016,Rio De Janeiro,Swimming,4X200M Freestyle Relay,Silver,Women
Wendy Elizabeth Cook-Hogg,Canada,CAN,Summer,1976,Montreal,Swimming,4X100M Medley Relay,Bronze,Women
"Bradford Paul ""Brad"" Cooper",Australia,AUS,Summer,1972,Munich,Swimming,400M Freestyle,Gold,Men
Margaret Joyce Cooper (-Badcock),Great Britain,GBR,Summer,1928,Amsterdam,Swimming,100M Freestyle,Bronze,Women
Margaret Joyce Cooper (-Badcock),Great Britain,GBR,Summer,1928,Amsterdam,Swimming,4X100M Freestyle Relay,Silver,Women
Margaret Joyce Cooper (-Badcock),Great Britain,GBR,Summer,1928,Amsterdam,Swimming,100M Backstroke,Bronze,Women
Margaret Joyce Cooper (-Badcock),Great Britain,GBR,Summer,1932,Los Angeles,Swimming,4X100M Freestyle Relay,Bronze,Women
Haley Cope (-Clark),United States,USA,Summer,2004,Athina,Swimming,4X100M Medley Relay,Silver,Women
Kevin Cordes,United States,USA,Summer,2016,Rio De Janeiro,Swimming,4X100M Medley Relay,Gold,Men
Ren Lopold Cornu,France,FRA,Summer,1948,London,Swimming,4X200M Freestyle Relay,Bronze,Men
"Maritza ""Ritz"" Correia (-Mcclendon)",United States,USA,Summer,2004,Athina,Swimming,4X100M Freestyle Relay,Silver,Women
Marie Louise Corridon (-Mortell),United States,USA,Summer,1948,London,Swimming,4X100M Freestyle Relay,Gold,Women
Robin Marie Corsiglia (-Scholefield),Canada,CAN,Summer,1976,Montreal,Swimming,4X100M Medley Relay,Bronze,Women
Marilyn Corson (-Whitney),Canada,CAN,Summer,1968,Mexico City,Swimming,4X100M Freestyle Relay,Bronze,Women
"Angela Denise Coughlan (-Arusoo, -Sharp)",Canada,CAN,Summer,1968,Mexico City,Swimming,4X100M Freestyle Relay,Bronze,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2004,Athina,Swimming,100M Freestyle,Bronze,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2004,Athina,Swimming,4X100M Freestyle Relay,Silver,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2004,Athina,Swimming,4X200M Freestyle Relay,Gold,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2004,Athina,Swimming,100M Backstroke,Gold,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2004,Athina,Swimming,4X100M Medley Relay,Silver,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2008,Beijing,Swimming,100M Freestyle,Bronze,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2008,Beijing,Swimming,4X100M Freestyle Relay,Silver,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2008,Beijing,Swimming,4X200M Freestyle Relay,Bronze,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2008,Beijing,Swimming,100M Backstroke,Gold,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2008,Beijing,Swimming,200M Individual Medley,Bronze,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2008,Beijing,Swimming,4X100M Medley Relay,Silver,Women
Natalie Anne Coughlin (-Hall),United States,USA,Summer,2012,London,Swimming,4X100M Freestyle Relay,Bronze,Women
Percy Courtman,Great Britain,GBR,Summer,1912,Stockholm,Swimming,400M Breaststroke,Bronze,Men
Alicia Jayne Coutts,Australia,AUS,Summer,2012,London,Swimming,4X100M Freestyle Relay,Gold,Women
Alicia Jayne Coutts,Australia,AUS,Summer,2012,London,Swimming,4X200M Freestyle Relay,Silver,Women
Alicia Jayne Coutts,Australia,AUS,Summer,2012,London,Swimming,100M Butterfly,Bronze,Women
Alicia Jayne Coutts,Australia,AUS,Summer,2012,London,Swimming,200M Individual Medley,Silver,Women
Alicia Jayne Coutts,Australia,AUS,Summer,2012,London,Swimming,4X100M Medley Relay,Silver,Women
Kirsty Leigh Coventry (-Seward),Zimbabwe,ZIM,Summer,2004,Athina,Swimming,100M Backstroke,Silver,Women
Kirsty Leigh Coventry (-Seward),Zimbabwe,ZIM,Summer,2004,Athina,Swimming,200M Backstroke,Gold,Women
Kirsty Leigh Coventry (-Seward),Zimbabwe,ZIM,Summer,2004,Athina,Swimming,200M Individual Medley,Bronze,Women
Kirsty Leigh Coventry (-Seward),Zimbabwe,ZIM,Summer,2008,Beijing,Swimming,100M Backstroke,Silver,Women
Kirsty Leigh Coventry (-Seward),Zimbabwe,ZIM,Summer,2008,Beijing,Swimming,200M Backstroke,Gold,Women
Kirsty Leigh Coventry (-Seward),Zimbabwe,ZIM,Summer,2008,Beijing,Swimming,200M Individual Medley,Silver,Women
Kirsty Leigh Coventry (-Seward),Zimbabwe,ZIM,Summer,2008,Beijing,Swimming,400M Individual Medley,Silver,Women
"Robert Elmer ""Bob"" Cowell",United States,USA,Summer,1948,London,Swimming,100M Backstroke,Silver,Men
"Clarence Linden ""Buster"" Crabbe, Jr.",United States,USA,Summer,1928,Amsterdam,Swimming,1500M Freestyle,Bronze,Men
"Clarence Linden ""Buster"" Crabbe, Jr.",United States,USA,Summer,1932,Los Angeles,Swimming,400M Freestyle,Gold,Men
"William Norval ""Bill"" Craig",United States,USA,Summer,1964,Tokyo,Swimming,4X100M Medley Relay,Gold,Men
Lorraine Joyce Crapp (-Thurlow),Australia,AUS,Summer,1956,Melbourne,Swimming,100M Freestyle,Silver,Women
Lorraine Joyce Crapp (-Thurlow),Australia,AUS,Summer,1956,Melbourne,Swimming,400M Freestyle,Gold,Women
Lorraine Joyce Crapp (-Thurlow),Australia,AUS,Summer,1956,Melbourne,Swimming,4X100M Freestyle Relay,Gold,Women
Lorraine Joyce Crapp (-Thurlow),Australia,AUS,Summer,1960,Roma,Swimming,4X100M Freestyle Relay,Silver,Women
"James Crapo ""Jim"" Cristy, Jr.",United States,USA,Summer,1932,Los Angeles,Swimming,1500M Freestyle,Bronze,Men
Ian Lowell Crocker,United States,USA,Summer,2000,Sydney,Swimming,4X100M Medley Relay,Gold,Men
Ian Lowell Crocker,United States,USA,Summer,2004,Athina,Swimming,4X100M Freestyle Relay,Bronze,Men
Ian Lowell Crocker,United States,USA,Summer,2004,Athina,Swimming,100M Butterfly,Silver,Men
Ian Lowell Crocker,United States,USA,Summer,2004,Athina,Swimming,4X100M Medley Relay,Gold,Men
Ian Lowell Crocker,United States,USA,Summer,2008,Beijing,Swimming,4X100M Medley Relay,Gold,Men
June Alexandra Croft,Great Britain,GBR,Summer,1980,Moskva,Swimming,4X100M Medley Relay,Silver,Women
June Alexandra Croft,Great Britain,GBR,Summer,1984,Los Angeles,Swimming,400M Freestyle,Bronze,Women
"Lszl Cseh, Jr.",Hungary,HUN,Summer,2004,Athina,Swimming,400M Individual Medley,Bronze,Men
"Lszl Cseh, Jr.",Hungary,HUN,Summer,2008,Beijing,Swimming,200M Butterfly,Silver,Men
"Lszl Cseh, Jr.",Hungary,HUN,Summer,2008,Beijing,Swimming,200M Individual Medley,Silver,Men
"Lszl Cseh, Jr.",Hungary,HUN,Summer,2008,Beijing,Swimming,400M Individual Medley,Silver,Men
"Lszl Cseh, Jr.",Hungary,HUN,Summer,2012,London,Swimming,200M Individual Medley,Bronze,Men
"Lszl Cseh, Jr.",Hungary,HUN,Summer,2016,Rio De Janeiro,Swimming,100M Butterfly,Silver,Men
Ferenc Csk (Lengvri-),Hungary,HUN,Summer,1936,Berlin,Swimming,100M Freestyle,Gold,Men
Ferenc Csk (Lengvri-),Hungary,HUN,Summer,1936,Berlin,Swimming,4X200M Freestyle Relay,Bronze,Men
Ann Elisabeth Curtis (-Cuneo),United States,USA,Summer,1948,London,Swimming,100M Freestyle,Silver,Women
Ann Elisabeth Curtis (-Cuneo),United States,USA,Summer,1948,London,Swimming,400M Freestyle,Gold,Women
Ann Elisabeth Curtis (-Cuneo),United States,USA,Summer,1948,London,Swimming,4X100M Freestyle Relay,Gold,Women
Robert Stephen Cusack,Australia,AUS,Summer,1968,Mexico City,Swimming,4X100M Freestyle Relay,Bronze,Men
Attila Czene,Hungary,HUN,Summer,1992,Barcelona,Swimming,200M Individual Medley,Bronze,Men
Attila Czene,Hungary,HUN,Summer,1996,Atlanta,Swimming,200M Individual Medley,Gold,Men
Agnieszka Ewa Czopek (-Sadowska),Poland,POL,Summer,1980,Moskva,Swimming,400M Individual Medley,Bronze,Women
Tienne Dagon,Switzerland,SUI,Summer,1984,Los Angeles,Swimming,200M Breaststroke,Bronze,Men
Heike Dhne (-Mller),East Germany,GDR,Summer,1980,Moskva,Swimming,800M Freestyle,Bronze,Women
Dai Jun,China,CHN,Summer,2012,London,Swimming,4X200M Freestyle Relay,Bronze,Men
Troy Lane Dalbey,United States,USA,Summer,1988,Seoul,Swimming,4X100M Freestyle Relay,Gold,Men
Troy Lane Dalbey,United States,USA,Summer,1988,Seoul,Swimming,4X200M Freestyle Relay,Gold,Men
Petra Dallmann,Germany,GER,Summer,2004,Athina,Swimming,4X200M Freestyle Relay,Bronze,Women
Hans Peter Ludvig Dam,Denmark,DEN,Summer,1908,London,Swimming,100M Backstroke,Silver,Men
"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",United States,USA,Summer,1968,Mexico City,Swimming,100M Butterfly,Silver,Women
"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",United States,USA,Summer,1968,Mexico City,Swimming,200M Butterfly,Bronze,Women
"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",United States,USA,Summer,1968,Mexico City,Swimming,4X100M Medley Relay,Gold,Women
"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",United States,USA,Summer,1972,Munich,Swimming,200M Butterfly,Bronze,Women
"Charles Meldrum ""Charlie"" Daniels",United States,USA,Summer,1904,St. Louis,Swimming,50M Yard Freestyle,Bronze,Men
"Charles Meldrum ""Charlie"" Daniels",United States,USA,Summer,1904,St. Louis,Swimming,100M Yard Freestyle,Silver,Men
"Charles Meldrum ""Charlie"" Daniels",United States,USA,Summer,1904,St. Louis,Swimming,220M Yard Freestyle,Gold,Men
"Charles Meldrum ""Charlie"" Daniels",United States,USA,Summer,1904,St. Louis,Swimming,440M Yard Freestyle,Gold,Men
"Charles Meldrum ""Charlie"" Daniels",New York Athletic Club #1,USA,Summer,1904,St. Louis,Swimming,4 X 50M Yard Freestyle Relay,Gold,Men
"Charles Meldrum ""Charlie"" Daniels",United States,USA,Summer,1906,Athina,Swimming,100M Freestyle,Gold,Men
"Charles Meldrum ""Charlie"" Daniels",United States,USA,Summer,1908,London,Swimming,100M Freestyle,Gold,Men
"Charles Meldrum ""Charlie"" Daniels",United States,USA,Summer,1908,London,Swimming,4X200M Freestyle Relay,Bronze,Men
"William Thomas ""Bill"" Darnton",United States,USA,Summer,1960,Roma,Swimming,4X200M Freestyle Relay,Gold,Men
Tams Darnyi,Hungary,HUN,Summer,1988,Seoul,Swimming,200M Individual Medley,Gold,Men
Tams Darnyi,Hungary,HUN,Summer,1988,Seoul,Swimming,400M Individual Medley,Gold,Men
Tams Darnyi,Hungary,HUN,Summer,1992,Barcelona,Swimming,200M Individual Medley,Gold,Men
Tams Darnyi,Hungary,HUN,Summer,1992,Barcelona,Swimming,400M Individual Medley,Gold,Men
Uwe Daler,East Germany,GDR,Summer,1988,Seoul,Swimming,400M Freestyle,Gold,Men
Uwe Daler,East Germany,GDR,Summer,1988,Seoul,Swimming,1500M Freestyle,Bronze,Men
Uwe Daler,East Germany,GDR,Summer,1988,Seoul,Swimming,4X200M Freestyle Relay,Silver,Men
Lara Shiree Davenport,Australia,AUS,Summer,2008,Beijing,Swimming,4X200M Freestyle Relay,Gold,Women
"David ""Dave"" Davies",Great Britain,GBR,Summer,2004,Athina,Swimming,1500M Freestyle,Bronze,Men
"David ""Dave"" Davies",Great Britain,GBR,Summer,2008,Beijing,Swimming,10Km Open Water,Silver,Men
John Griffith Davies,Australia,AUS,Summer,1952,Helsinki,Swimming,200M Breaststroke,Gold,Men
"Judith Joy ""Judy-Joy"" Davies",Australia,AUS,Summer,1948,London,Swimming,100M Backstroke,Bronze,Women
"Sharron Elizabeth Davies (-Crisp, -Redmond, -Kingston)",Great Britain,GBR,Summer,1980,Moskva,Swimming,400M Individual Medley,Silver,Women
Elizabeth Valerie Davies (-Latham),Great Britain,GBR,Summer,1932,Los Angeles,Swimming,4X100M Freestyle Relay,Bronze,Women
Elizabeth Valerie Davies (-Latham),Great Britain,GBR,Summer,1932,Los Angeles,Swimming,100M Backstroke,Bronze,Women
"Joshua Clark ""Josh"" Davis",United States,USA,Summer,1996,Atlanta,Swimming,4X100M Freestyle Relay,Gold,Men
"Joshua Clark ""Josh"" Davis",United States,USA,Summer,1996,Atlanta,Swimming,4X200M Freestyle Relay,Gold,Men
"Joshua Clark ""Josh"" Davis",United States,USA,Summer,1996,Atlanta,Swimming,4X100M Medley Relay,Gold,Men
"Joshua Clark ""Josh"" Davis",United States,USA,Summer,2000,Sydney,Swimming,4X100M Freestyle Relay,Silver,Men
"Joshua Clark ""Josh"" Davis",United States,USA,Summer,2000,Sydney,Swimming,4X200M Freestyle Relay,Silver,Men
Victor Davis,Canada,CAN,Summer,1984,Los Angeles,Swimming,100M Breaststroke,Silver,Men
Victor Davis,Canada,CAN,Summer,1984,Los Angeles,Swimming,200M Breaststroke,Gold,Men
Victor Davis,Canada,CAN,Summer,1984,Los Angeles,Swimming,4X100M Medley Relay,Silver,Men
Victor Davis,Canada,CAN,Summer,1988,Seoul,Swimming,4X100M Medley Relay,Silver,Men
Inge De Bruijn,Netherlands,NED,Summer,2000,Sydney,Swimming,50M Freestyle,Gold,Women
Inge De Bruijn,Netherlands,NED,Summer,2000,Sydney,Swimming,100M Freestyle,Gold,Women
Inge De Bruijn,Netherlands,NED,Summer,2000,Sydney,Swimming,4X100M Freestyle Relay,Silver,Women
Inge De Bruijn,Netherlands,NED,Summer,2000,Sydney,Swimming,100M Butterfly,Gold,Women
Inge De Bruijn,Netherlands,NED,Summer,2004,Athina,Swimming,50M Freestyle,Gold,Women
Inge De Bruijn,Netherlands,NED,Summer,2004,Athina,Swimming,100M Freestyle,Silver,Women
Inge De Bruijn,Netherlands,NED,Summer,2004,Athina,Swimming,4X100M Freestyle Relay,Bronze,Women
Inge De Bruijn,Netherlands,NED,Summer,2004,Athina,Swimming,100M Butterfly,Bronze,Women
Joseph De Combe,Belgium,BEL,Summer,1924,Paris,Swimming,200M Breaststroke,Silver,Men
"Regina Constance ""Reggie"" De Jong",Netherlands,NED,Summer,1980,Moskva,Swimming,4X100M Freestyle Relay,Bronze,Women
Jolanda De Rover (-Toussaint),Netherlands,NED,Summer,1984,Los Angeles,Swimming,100M Backstroke,Bronze,Women
Jolanda De Rover (-Toussaint),Netherlands,NED,Summer,1984,Los Angeles,Swimming,200M Backstroke,Gold,Women
Donna Elizabeth De Varona (-Pinto),United States,USA,Summer,1960,Roma,Swimming,4X100M Freestyle Relay,Gold,Women
Donna Elizabeth De Varona (-Pinto),United States,USA,Summer,1964,Tokyo,Swimming,4X100M Freestyle Relay,Gold,Women
Donna Elizabeth De Varona (-Pinto),United States,USA,Summer,1964,Tokyo,Swimming,400M Individual Medley,Gold,Women
Deena Diane Deardurff (-Schmidt),United States,USA,Summer,1972,Munich,Swimming,4X100M Medley Relay,Gold,Women
"Frdrik Edouard Robert ""Fred"" Deburghgraeve",Belgium,BEL,Summer,1996,Atlanta,Swimming,100M Breaststroke,Gold,Men
Inge Dekker,Netherlands,NED,Summer,2004,Athina,Swimming,4X100M Freestyle Relay,Bronze,Women
Inge Dekker,Netherlands,NED,Summer,2008,Beijing,Swimming,4X100M Freestyle Relay,Gold,Women
Inge Dekker,Netherlands,NED,Summer,2012,London,Swimming,4X100M Freestyle Relay,Silver,Women
"Ashley Jason ""Ash"" Delaney",Australia,AUS,Summer,2008,Beijing,Swimming,4X100M Medley Relay,Silver,Men
Michael William Delany,Australia,AUS,Summer,1984,Los Angeles,Swimming,4X100M Freestyle Relay,Silver,Men
Frdric Andr Delcourt,France,FRA,Summer,1984,Los Angeles,Swimming,200M Backstroke,Silver,Men
Cyro Marques Delgado,Brazil,BRA,Summer,1980,Moskva,Swimming,4X200M Freestyle Relay,Bronze,Men
"Willemijntje ""Willy"" Den Ouden (-Broms, -Jager, -Schupper)",Netherlands,NED,Summer,1932,Los Angeles,Swimming,100M Freestyle,Silver,Women
"Willemijntje ""Willy"" Den Ouden (-Broms, -Jager, -Schupper)",Netherlands,NED,Summer,1932,Los Angeles,Swimming,4X100M Freestyle Relay,Silver,Women
"Willemijntje ""Willy"" Den Ouden (-Broms, -Jager, -Schupper)",Netherlands,NED,Summer,1936,Berlin,Swimming,4X100M Freestyle Relay,Gold,Women
Yelena Yuryevna Dendeberova (-Kuznetsova),Soviet Union,URS,Summer,1988,Seoul,Swimming,200M Individual Medley,Silver,Women
Helen Jennifer Denman,Australia,AUS,Summer,1996,Atlanta,Swimming,4X100M Medley Relay,Silver,Women
"Clara ""Clare"" Dennis (-Golding)",Australia,AUS,Summer,1932,Los Angeles,Swimming,200M Breaststroke,Gold,Women
"John Henry ""Rob"" Derbyshire",Great Britain,GBR,Summer,1906,Athina,Swimming,4 X 250M Freestyle Relay,Bronze,Men
"John Henry ""Rob"" Derbyshire",Great Britain,GBR,Summer,1908,London,Swimming,4X200M Freestyle Relay,Gold,Men
Hans F. Dersch,United States,USA,Summer,1992,Barcelona,Swimming,4X100M Medley Relay,Gold,Men
Gabriele Detti,Italy,ITA,Summer,2016,Rio De Janeiro,Swimming,400M Freestyle,Bronze,Men
Gabriele Detti,Italy,ITA,Summer,2016,Rio De Janeiro,Swimming,1500M Freestyle,Bronze,Men
Tetiana Mykolavna Dev'Iatova (-Kostitsyna),Soviet Union,URS,Summer,1964,Tokyo,Swimming,4X100M Medley Relay,Bronze,Women
Charles Devendeville,France,FRA,Summer,1900,Paris,Swimming,Underwater,Gold,Men
John Thomas Devitt,Australia,AUS,Summer,1956,Melbourne,Swimming,100M Freestyle,Silver,Men
John Thomas Devitt,Australia,AUS,Summer,1956,Melbourne,Swimming,4X200M Freestyle Relay,Gold,Men
John Thomas Devitt,Australia,AUS,Summer,1960,Roma,Swimming,100M Freestyle,Gold,Men
John Thomas Devitt,Australia,AUS,Summer,1960,Roma,Swimming,4X200M Freestyle Relay,Bronze,Men
Steven Dennis Dewick,Australia,AUS,Summer,1996,Atlanta,Swimming,4X100M Medley Relay,Bronze,Men
George Thomas Dicarlo,United States,USA,Summer,1984,Los Angeles,Swimming,400M Freestyle,Gold,Men
George Thomas Dicarlo,United States,USA,Summer,1984,Los Angeles,Swimming,1500M Freestyle,Silver,Men
"William Eugene ""Billy"" Dickey",United States,USA,Summer,1904,St. Louis,Swimming,Plunge For Distance,Gold,Men
David Gavin Dickson,Australia,AUS,Summer,1960,Roma,Swimming,4X200M Freestyle Relay,Bronze,Men
David Gavin Dickson,Australia,AUS,Summer,1964,Tokyo,Swimming,4X100M Freestyle Relay,Bronze,Men
David Gavin Dickson,Australia,AUS,Summer,1964,Tokyo,Swimming,4X100M Medley Relay,Bronze,Men
Nelson W. Diebel,United States,USA,Summer,1992,Barcelona,Swimming,100M Breaststroke,Gold,Men
Nelson W. Diebel,United States,USA,Summer,1992,Barcelona,Swimming,4X100M Medley Relay,Gold,Men
Ines Diers (-Noack),East Germany,GDR,Summer,1980,Moskva,Swimming,100M Freestyle,Bronze,Women
Ines Diers (-Noack),East Germany,GDR,Summer,1980,Moskva,Swimming,200M Freestyle,Silver,Women
Ines Diers (-Noack),East Germany,GDR,Summer,1980,Moskva,Swimming,400M Freestyle,Gold,Women
Ines Diers (-Noack),East Germany,GDR,Summer,1980,Moskva,Swimming,800M Freestyle,Silver,Women
Ines Diers (-Noack),East Germany,GDR,Summer,1980,Moskva,Swimming,4X100M Freestyle Relay,Gold,Women
Gary J. Dilley,United States,USA,Summer,1964,Tokyo,Swimming,200M Backstroke,Silver,Men
"Madeline Jane ""Maya"" Dirado",United States,USA,Summer,2016,Rio De Janeiro,Swimming,4X200M Freestyle Relay,Gold,Women
"Madeline Jane ""Maya"" Dirado",United States,USA,Summer,2016,Rio De Janeiro,Swimming,200M Backstroke,Gold,Women
